PROPER NOUNS IN GRIFFITH RIGVEDA TRANSLATION
================================================================================

Total unique proper nouns (>= 5 occurrences): 921

178. Victor               (  33 occurrences)
179. Somas                (  32 occurrences)
180. Sire                 (  32 occurrences)
181. Master               (  32 occurrences)
182. While                (  32 occurrences)
183. Good                 (  31 occurrences)
184. Susna                (  31 occurrences)
185. Chief                (  30 occurrences)
186. Praise               (  30 occurrences)
187. Dames                (  30 occurrences)
188. Red                  (  30 occurrences)
189. Celestial            (  30 occurrences)
190. Wonder               (  30 occurrences)
191. Accordant            (  30 occurrences)
192. Five                 (  30 occurrences)
193. Mark                 (  30 occurrences)
194. Wondrous             (  30 occurrences)
195. Song                 (  29 occurrences)
196. Falcon               (  29 occurrences)
197. Vasistha             (  29 occurrences)
198. Trita                (  29 occurrences)
199. Hear                 (  28 occurrences)
200. Vivasvan             (  28 occurrences)
201. Is                   (  28 occurrences)
202. Rich                 (  28 occurrences)
203. Bold                 (  27 occurrences)
204. Lover                (  27 occurrences)
205. Ila                  (  27 occurrences)
206. Guardian             (  27 occurrences)
207. Sisters              (  27 occurrences)
208. MAY                  (  27 occurrences)
209. Purifier             (  26 occurrences)
210. Kanvas               (  26 occurrences)
211. Car                  (  26 occurrences)
212. Lady                 (  26 occurrences)
213. Go                   (  25 occurrences)
214. Fair                 (  25 occurrences)
215. Sing                 (  25 occurrences)
216. Protect              (  25 occurrences)
217. Amrta                (  25 occurrences)
218. Milch                (  25 occurrences)
219. THIS                 (  25 occurrences)
220. Protector            (  24 occurrences)
221. Whoso                (  24 occurrences)
222. Power                (  24 occurrences)
223. Prsni                (  24 occurrences)
224. Borne                (  24 occurrences)
225. Raksasas             (  24 occurrences)
226. Sudas                (  24 occurrences)
227. Ancient              (  24 occurrences)
228. Floods               (  24 occurrences)
229. INDRA                (  23 occurrences)
230. Immortals            (  23 occurrences)
231. Matarisvan           (  23 occurrences)
232. Ahi                  (  23 occurrences)
233. Shine                (  23 occurrences)
234. Sambara              (  23 occurrences)
235. Bestow               (  23 occurrences)
236. Help                 (  22 occurrences)
237. Born                 (  22 occurrences)
238. Heavenly             (  22 occurrences)
239. Bulls                (  22 occurrences)
240. Golden               (  22 occurrences)
241. Brahmans             (  22 occurrences)
242. Blest                (  22 occurrences)
243. Supreme              (  22 occurrences)
244. Still                (  21 occurrences)
245. Vala                 (  21 occurrences)
246. Sit                  (  21 occurrences)
247. Fain                 (  21 occurrences)
248. Hath                 (  21 occurrences)
249. Within               (  21 occurrences)
250. Moon                 (  21 occurrences)
251. Sky                  (  21 occurrences)
252. Invoker              (  21 occurrences)
253. Arya                 (  21 occurrences)
254. Food                 (  21 occurrences)
255. Self                 (  21 occurrences)
256. Godhead              (  21 occurrences)
257. Stone                (  21 occurrences)
258. Wind                 (  21 occurrences)
259. Call                 (  21 occurrences)
260. Never                (  20 occurrences)
261. Knowing              (  20 occurrences)
262. WE                   (  20 occurrences)
263. Powers               (  20 occurrences)
264. Slay                 (  20 occurrences)
265. Impetuous            (  20 occurrences)
266. SING                 (  20 occurrences)
267. E                    (  20 occurrences)
268. Warrior              (  20 occurrences)
269. THOU                 (  20 occurrences)
270. Hotar                (  20 occurrences)
271. Workers              (  20 occurrences)
272. Vasisthas            (  20 occurrences)
